"NGenes","Direction","PValue","BH_FDR_five_sets_within_cell_type_supplementary","gene_set","Correlation","cell_type","minimum_nuclei","correlation_method","nominal_p_lt_0_05","n_donors","n_et_donors","n_control_donors","BH_FDR_70_tests_within_threshold_and_correlation_method_supplementary"
48,"Up",0.360626440621963,0.598747615759461,"Targets predicted for any sulfate or glucuronide conjugate",0.00261434953969891,"UBC",20,"estimated",FALSE,103,16,87,0.976284808157817
6,"Up",0.364335083027778,0.948390956496165,"Carbonic anhydrase family",-0.0215683820061845,"PLI",20,"estimated",FALSE,105,16,89,0.976284808157817
117,"Up",0.369032827770151,0.714148293800628,"Targets predicted for any chemical form",0.0126022307068471,"Bergmann",20,"estimated",FALSE,108,16,92,0.976284808157817
8,"Up",0.385075159285382,0.777811900018649,"Carbonic anhydrase family",0.0207039989388456,"MLI_1",20,"estimated",FALSE,108,16,92,0.976284808157817
19,"Up",0.394480177213829,0.430093597475818,"Targets predicted for all chemical forms",-0.00395332754859724,"Granule",20,"estimated",FALSE,109,16,93,0.976284808157817
17,"Up",0.411088197402843,0.598747615759461,"Targets predicted for all sulfate and glucuronide conjugates",-0.0103636539245423,"UBC",20,"estimated",FALSE,103,16,87,0.976284808157817
10,"Down",0.420256498035936,0.868212139446699,"Targets predicted for all chemical forms",-0.00959644366550341,"Golgi",20,"estimated",FALSE,106,16,90,0.976284808157817
117,"Up",0.424636164542901,0.430093597475818,"Targets predicted for any sulfate or glucuronide conjugate",0.02004576244013,"Granule",20,"estimated",FALSE,109,16,93,0.976284808157817
151,"Up",0.430093597475818,0.430093597475818,"Targets predicted for any chemical form",0.019999483305151,"Granule",20,"estimated",FALSE,109,16,93,0.976284808157817
75,"Up",0.438711410602845,0.809030210562962,"Targets predicted for any chemical form",0.00606130563733696,"Purkinje",20,"estimated",FALSE,108,16,92,0.976284808157817
26,"Down",0.447349178428361,0.755985342542136,"Targets predicted for all sulfate and glucuronide conjugates",0.00992871456752441,"Microglia",20,"estimated",FALSE,107,16,91,0.976284808157817
7,"Up",0.453591205525281,0.755985342542136,"Carbonic anhydrase family",-0.0426244734943892,"Microglia",20,"estimated",FALSE,107,16,91,0.976284808157817
20,"Up",0.456690535181441,0.868212139446699,"Targets predicted for all sulfate and glucuronide conjugates",0.00167129646726626,"Golgi",20,"estimated",FALSE,106,16,90,0.976284808157817
93,"Up",0.474050645525597,0.714148293800628,"Targets predicted for any sulfate or glucuronide conjugate",0.0145222365608664,"Bergmann",20,"estimated",FALSE,108,16,92,0.976284808157817
8,"Up",0.478998092607569,0.598747615759461,"Targets predicted for all chemical forms",-0.0328412673354461,"UBC",20,"estimated",FALSE,103,16,87,0.976284808157817
11,"Down",0.481736200219008,0.927808127460631,"Targets predicted for all chemical forms",-0.00574998689177426,"Endocytes",20,"estimated",FALSE,103,16,87,0.976284808157817
