"gene_symbol","logFC","logCPM","F","PValue","BH_FDR_full_transcriptome_within_cell_type_supplementary","predicted_for_any_chemical_form","predicted_for_all_chemical_forms","predicted_for_any_sulfate_or_glucuronide","predicted_for_all_sulfate_and_glucuronide_forms","cell_type","minimum_nuclei","n_donors","n_et_donors","n_control_donors","nominal_p_lt_0_05","BH_FDR_all_target_gene_cell_type_tests_within_threshold_supplementary"
"CA12",0.682711455516241,3.6289896267991,6.83359443689437,0.0102310695925461,0.0823862551905077,TRUE,TRUE,TRUE,TRUE,"Bergmann",10,108,16,92,TRUE,0.146897973100813
"HDAC6",0.194574495747586,5.59472458862073,6.8054710812133,0.0103307322420812,0.150031219206674,TRUE,FALSE,FALSE,FALSE,"Granule",10,109,16,93,TRUE,0.146897973100813
"MME",-1.07183479277016,3.29660694579932,6.76681150875863,0.0104577817028649,0.17090616281133,TRUE,FALSE,TRUE,FALSE,"Oligodendrocytes",10,108,16,92,TRUE,0.146912933319765
"YWHAG",0.374716285139419,6.7054963157581,6.70266605751172,0.0107008181317035,0.378886184261191,TRUE,FALSE,TRUE,FALSE,"UBC",10,107,16,91,TRUE,0.148537546923408
"GSK3B",-0.139940413179075,8.05252565712091,6.70887918655091,0.0108756018941331,0.0851539743243866,TRUE,FALSE,TRUE,FALSE,"Bergmann",10,108,16,92,TRUE,0.14918766833599
"NR1H3",0.435743086265815,3.45481249607349,6.45695095728249,0.0122060058864733,0.180980962279951,TRUE,FALSE,TRUE,FALSE,"Astrocytes",10,108,16,92,TRUE,0.165490730972417
"PRKCA",0.407955614635714,6.63806412754484,6.46564302099576,0.0124595965329236,0.186783196024673,TRUE,FALSE,TRUE,TRUE,"Oligodendrocytes",10,108,16,92,TRUE,0.166529029983167
"PDE4D",0.340235470472503,8.53423558113811,6.42621701303164,0.0125682286779749,0.288635872397629,TRUE,FALSE,TRUE,FALSE,"Pericytes",10,102,16,86,TRUE,0.166529029983167
"HSD11B1",0.640464903796543,3.94596623058208,6.33015370076469,0.0133597292915408,0.0966309393235266,TRUE,FALSE,TRUE,FALSE,"Bergmann",10,108,16,92,TRUE,0.174395463096653
"TRPV1",0.268535843409735,5.17387051848717,6.27595913016508,0.0135875795797651,0.194817878523051,TRUE,FALSE,TRUE,FALSE,"Oligodendrocytes",10,108,16,92,TRUE,0.174395463096653
