"cell_type","gene_symbol","minimum_nuclei","logFC","PValue","nominal_p_lt_0_05","n_donors","n_et_donors","n_control_donors"
"Bergmann","CA4",20,0.262913599397797,0.271314535554945,FALSE,108,16,92
"Endocytes","CA4",20,0.23571910957997,0.306996280056583,FALSE,103,16,87
"Astrocytes","CA3",20,-0.1222803722038,0.338649855206257,FALSE,108,16,92
"Purkinje","CA4",20,0.256658344204814,0.342540887350959,FALSE,108,16,92
"Golgi","CA4",20,0.19008721678202,0.379085020299415,FALSE,106,16,90
"Granule","ADCY10",20,0.174030885711652,0.390699361932803,FALSE,109,16,93
"MLI_2","TET3",20,-0.0910630517182962,0.428055922724352,FALSE,104,16,88
"Endocytes","TET3",20,-0.0763865429585211,0.482598553379692,FALSE,103,16,87
"Oligodendrocytes","CA3",20,0.0717202107379026,0.571436590689065,FALSE,107,16,91
"OPC","CA3",20,0.0720711143045536,0.575301878623972,FALSE,107,16,91
"MLI_1","CA3",20,-0.0739565196814444,0.576360284035321,FALSE,108,16,92
"Granule","TET3",20,-0.0376274852891369,0.57868288286696,FALSE,109,16,93
"Microglia","ADCY10",20,0.125643089765823,0.638214121290614,FALSE,107,16,91
"Granule","CA3",20,-0.044990048515213,0.640033585613891,FALSE,109,16,93
"UBC","CA4",20,0.118462158153799,0.66858789862058,FALSE,103,16,87
"Golgi","ADCY10",20,0.0971983919675548,0.705930117831702,FALSE,106,16,90
"Endocytes","CA3",20,0.0585330578069331,0.756976999511419,FALSE,103,16,87
"Astrocytes","TET3",20,-0.0265869022013627,0.757446071991121,FALSE,108,16,92
"MLI_1","ADCY10",20,0.0650789339211043,0.764398044145869,FALSE,108,16,92
"Pericytes","TET3",20,0.0389331676395368,0.808632871112171,FALSE,101,16,85
"OPC","ADCY10",20,-0.054844724470403,0.811604992061966,FALSE,107,16,91
"PLI","CA3",20,-0.0391453757924347,0.817014984402821,FALSE,105,16,89
"OPC","TET3",20,-0.0117630028870748,0.88010297250795,FALSE,107,16,91
