"cell_type","gene_symbol","gene_id","logFC","CI.L","CI.R","AveExpr","t","P.Value","nominal_p_lt_0_05","BH_FDR_full_transcriptome_within_cell_type_supplementary","BH_FDR_all_target_gene_cell_type_tests_supplementary","BH_FDR_prespecified_gene_cell_type_tests_supplementary","n_pseudobulk_samples","n_donors","n_et_donors","n_normal_donors","initial_consensus_correlation","final_consensus_correlation","all_form_union","all_form_core","circulating_conjugate_union","circulating_conjugate_core","prespecified_single_gene","B","analysis_type","omitted_et_donors","filter_pass_fraction","same_direction_fraction","nominal_p_lt_0_05_fraction","all_iterations_nominal_p_lt_0_05","maximum_nominal_p","minimum_logFC","maximum_logFC"
"MLI_2","CA3","ENSG00000164879",0.361147263593703,-0.0861363871527021,0.808430914340108,4.35946099383523,1.59872557621328,0.112524847679597,FALSE,0.56231642902313,0.454134146212874,0.960978091463526,111,106,16,90,0.147495448276248,0.147618093114082,TRUE,FALSE,TRUE,FALSE,TRUE,-4.53708546566631,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"MLI_1","CA4","ENSG00000167434",0.270635685800144,-0.0896726037858092,0.630943975386097,5.71667068636608,1.48524228150665,0.139768242850569,FALSE,0.59160006587375,0.499171998834468,NA,133,108,16,92,0.208796668844919,0.208893644765407,TRUE,FALSE,TRUE,FALSE,FALSE,-4.81429315106124,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Bergmann","CA4","ENSG00000167434",0.216022590455984,-0.140870327922896,0.572915508834864,5.81714641905881,1.19684084323219,0.233421583693715,FALSE,0.459344852016376,0.61577100073368,NA,136,108,16,92,0.274401116930219,0.274690494831428,TRUE,FALSE,TRUE,FALSE,FALSE,-5.64290976898562,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Golgi","CA3","ENSG00000164879",-0.174399587207444,-0.475088891175335,0.126289716760446,4.75084368421752,-1.14769207436608,0.253248797464072,FALSE,0.63472991611025,0.636578242757083,0.960978091463526,119,106,16,90,0.0843378657773514,0.084327709538786,TRUE,FALSE,TRUE,FALSE,TRUE,-5.27817891929478,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Endocytes","CA4","ENSG00000167434",0.242928149080594,-0.184137630068964,0.669993928230153,6.21071826661873,1.12581885817812,0.262405382149277,FALSE,0.825694609150633,0.642069208012603,NA,121,107,16,91,0.170853828039526,0.171192220340184,TRUE,FALSE,TRUE,FALSE,FALSE,-5.64517377652908,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Astrocytes","CA13","ENSG00000185015",0.152873606495024,-0.120560850576442,0.426308063566491,4.01048440066457,1.10545884583169,0.270879336804633,FALSE,0.613341668588979,0.656461167902136,0.960978091463526,134,108,16,92,0.269165816412669,0.26902089105135,TRUE,FALSE,TRUE,FALSE,TRUE,-5.19523207827502,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Granule","CA3","ENSG00000164879",-0.0800587952948588,-0.228942521748892,0.0688249311591748,4.50906864394531,-1.06307246386389,0.289570934381633,FALSE,0.628392045037823,0.670247321408044,0.960978091463526,139,109,16,93,0.433480024109276,0.432979964817126,TRUE,FALSE,TRUE,FALSE,TRUE,-5.63423546686379,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Endocytes","CA3","ENSG00000164879",0.173925731456789,-0.171418825591138,0.519270288504716,4.48798146637714,0.996773936516403,0.32080553065819,FALSE,0.849031318981051,0.685538985010092,0.960978091463526,121,107,16,91,0.170853828039526,0.171192220340184,TRUE,FALSE,TRUE,FALSE,TRUE,-5.50741272161287,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Purkinje","CA4","ENSG00000167434",0.199498317287786,-0.237334966617712,0.636331601193284,5.81228384282736,0.903845750244825,0.367814889955095,FALSE,0.770091373390536,0.729743001468503,NA,121,108,16,92,0.0712124456320508,0.0712425788161398,TRUE,FALSE,TRUE,FALSE,FALSE,-5.31112849457087,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Golgi","CA4","ENSG00000167434",0.156665669346062,-0.196701128407809,0.510032467099933,5.86471211372734,0.877295713347693,0.381979313223509,FALSE,0.740256802392006,0.732304685587588,NA,119,106,16,90,0.0843378657773514,0.084327709538786,TRUE,FALSE,TRUE,FALSE,FALSE,-5.66725760234003,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
