"cell_type","gene_symbol","gene_id","logFC","CI.L","CI.R","AveExpr","t","P.Value","nominal_p_lt_0_05","BH_FDR_full_transcriptome_within_cell_type_supplementary","BH_FDR_all_target_gene_cell_type_tests_supplementary","BH_FDR_prespecified_gene_cell_type_tests_supplementary","n_pseudobulk_samples","n_donors","n_et_donors","n_normal_donors","initial_consensus_correlation","final_consensus_correlation","all_form_union","all_form_core","circulating_conjugate_union","circulating_conjugate_core","prespecified_single_gene","B","analysis_type","omitted_et_donors","filter_pass_fraction","same_direction_fraction","nominal_p_lt_0_05_fraction","all_iterations_nominal_p_lt_0_05","maximum_nominal_p","minimum_logFC","maximum_logFC"
"MLI_1","IGF1R","ENSG00000140443",-0.0356267904560288,-0.147879495425191,0.076625914513133,8.59113194281002,-0.627576077987565,0.531322292212093,FALSE,0.861701601090252,0.840983565641954,0.960978091463526,133,108,16,92,0.208796668844919,0.208893644765407,TRUE,FALSE,TRUE,FALSE,TRUE,-6.15155590899826,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"UBC","SIRT1","ENSG00000096717",0.101492442248205,-0.222103922865752,0.425088807362161,5.54400966163863,0.620696261226792,0.53592320916185,FALSE,0.856047970002744,0.844429319815384,0.960978091463526,116,107,16,91,0.0586769757565924,0.058711755849593,TRUE,FALSE,FALSE,FALSE,TRUE,-5.31851622271912,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"MLI_2","IGF1R","ENSG00000140443",-0.0417367079431068,-0.18499963752211,0.101526221635896,8.69699501151097,-0.576842141897312,0.565132176003594,FALSE,0.884363141583497,0.86430130568013,0.960978091463526,111,106,16,90,0.147495448276248,0.147618093114082,TRUE,FALSE,TRUE,FALSE,TRUE,-6.41313547539841,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Astrocytes","CA3","ENSG00000164879",-0.0658104305985348,-0.302775164322919,0.171154303125849,4.57971089564663,-0.549128930802096,0.583802101968788,FALSE,0.821845411636828,0.866633188090451,0.960978091463526,134,108,16,92,0.269165816412669,0.26902089105135,TRUE,FALSE,TRUE,FALSE,TRUE,-5.75865796030761,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"OPC","CA3","ENSG00000164879",0.0655476243827312,-0.173158630275036,0.304253879040498,4.54650341136355,0.543016581263183,0.588004987890603,FALSE,0.846114309113212,0.868293079785978,0.960978091463526,130,108,16,92,0.174390558604175,0.174457377959855,TRUE,FALSE,TRUE,FALSE,TRUE,-5.73185230297531,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Endocytes","SIRT1","ENSG00000096717",-0.0753241940051359,-0.354828669799153,0.204180281788881,5.54156145352922,-0.533373183890545,0.594725147341701,FALSE,0.942169902826709,0.869784940566254,0.960978091463526,121,107,16,91,0.170853828039526,0.171192220340184,TRUE,FALSE,FALSE,FALSE,TRUE,-6.03743313413189,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Purkinje","IGF1R","ENSG00000140443",0.0346791699076585,-0.0991451809208368,0.168503520736154,8.66774840691718,0.512866524605764,0.608949375553154,FALSE,0.880792783229024,0.875588067556562,0.960978091463526,121,108,16,92,0.0712124456320508,0.0712425788161398,TRUE,FALSE,TRUE,FALSE,TRUE,-6.03355799334493,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Oligodendrocytes","SIRT1","ENSG00000096717",-0.0421212472675081,-0.209586595039522,0.125344100504505,5.38857758405382,-0.497356864948161,0.619732741441624,FALSE,0.858126981401044,0.877755878100683,0.960978091463526,133,108,16,92,0.25740559432296,0.257627515252597,TRUE,FALSE,FALSE,FALSE,TRUE,-6.19502252343353,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Granule","TET3","ENSG00000187605",-0.024528959537595,-0.126209667720461,0.077151748645271,6.88261563288978,-0.47691569299237,0.63416232953018,FALSE,0.863090148976425,0.877755878100683,0.960978091463526,139,109,16,93,0.433480024109276,0.432979964817126,TRUE,FALSE,TRUE,FALSE,TRUE,-6.33738444822347,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Microglia","CA3","ENSG00000164879",-0.0664536767910314,-0.348160187810262,0.215252834228199,4.52787655324539,-0.466599923773684,0.641550444113532,FALSE,0.906665240687887,0.879418944366723,0.960978091463526,127,108,16,92,0.200947166454236,0.20114658349785,TRUE,FALSE,TRUE,FALSE,TRUE,-5.68187967530284,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"PLI","SIRT1","ENSG00000096717",0.0585948568107545,-0.199587685869999,0.316777399491508,5.48918254071402,0.448821238515807,0.654276947838646,FALSE,0.930353886620411,0.885509165796884,0.960978091463526,127,107,16,91,0.212564412440487,0.212557412022697,TRUE,FALSE,FALSE,FALSE,TRUE,-5.51526853223371,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Endocytes","IGF1R","ENSG00000140443",-0.0396443872480861,-0.221526028541613,0.142237254045441,9.07142600191059,-0.431398167241442,0.666924155922022,FALSE,0.950976349739523,0.893970781068844,0.960978091463526,121,107,16,91,0.170853828039526,0.171192220340184,TRUE,FALSE,TRUE,FALSE,TRUE,-6.39840218166434,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Purkinje","SIRT1","ENSG00000096717",-0.0545297103782734,-0.328868193792949,0.219808773036403,5.32845584601926,-0.393384516746343,0.694705307667973,FALSE,0.913895736999923,0.906490913317294,0.960978091463526,121,108,16,92,0.0712124456320508,0.0712425788161398,TRUE,FALSE,FALSE,FALSE,TRUE,-5.5349925313346,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"MLI_1","CA3","ENSG00000164879",-0.0506912160365578,-0.306658755576,0.205276323502885,4.46255249474887,-0.391592452075878,0.695965445455452,FALSE,0.920951447999414,0.906490913317294,0.960978091463526,133,108,16,92,0.208796668844919,0.208893644765407,TRUE,FALSE,TRUE,FALSE,TRUE,-5.57233702250317,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Golgi","IGF1R","ENSG00000140443",-0.0242586436885415,-0.146842543411183,0.0983252560341003,8.73270656196197,-0.391589458312486,0.696016544088869,FALSE,0.900815619581133,0.906490913317294,0.960978091463526,119,106,16,90,0.0843378657773514,0.084327709538786,TRUE,FALSE,TRUE,FALSE,TRUE,-6.58641816749268,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
