"logFC","logCPM","F","PValue","BH_FDR_full_transcriptome_within_cell_type_supplementary","gene_symbol","cell_type","minimum_nuclei","n_donors","n_et_donors","n_control_donors","nominal_p_lt_0_05","BH_FDR_carbonic_anhydrase_tests_within_threshold_supplementary"
0.0730003982775996,4.52641868879499,0.33301635683655,0.564943207588482,0.851263542191624,"CA3","Oligodendrocytes",10,108,16,92,FALSE,0.964740914132788
0.109272048015516,4.10416447118032,0.331247659514341,0.565983735777715,0.851785004251303,"CA8","Oligodendrocytes",10,108,16,92,FALSE,0.964740914132788
0.0387918486306587,10.962748210285,0.315152981277311,0.575548081763004,0.911272625512263,"CA10","Golgi",10,106,16,90,FALSE,0.964740914132788
-0.0739565196814444,4.53063455802979,0.313899006887345,0.576360284035321,0.929627572255202,"CA3","MLI_1",10,108,16,92,FALSE,0.964740914132788
0.120094300996919,4.09223296886486,0.311179382579091,0.577901751317661,0.933191119036841,"CA13","Purkinje",10,108,16,92,FALSE,0.964740914132788
-0.0809696424039785,6.55757766609758,0.294566059784887,0.588430396510758,0.865144549153315,"CA11","Astrocytes",10,108,16,92,FALSE,0.964740914132788
-0.0520391706350632,10.8746772832067,0.280600448753026,0.597327570704092,0.86938409455498,"CA10","Astrocytes",10,108,16,92,FALSE,0.964740914132788
0.141660990405416,6.24879147907323,0.278737704078022,0.598655836492921,0.917615611521812,"CA4","UBC",10,107,16,91,FALSE,0.964740914132788
-0.0421196748247992,10.9353874612392,0.262595542889015,0.609213417135997,0.917694509277887,"CA10","UBC",10,107,16,91,FALSE,0.964740914132788
0.0879642804583885,4.20494625779151,0.256261807681856,0.613711868102559,0.861687425438285,"CA8","Granule",10,109,16,93,FALSE,0.964740914132788
-0.0648464335409769,3.96160535122532,0.242173441883007,0.623532906887403,0.938571926322467,"CA13","MLI_1",10,108,16,92,FALSE,0.964740914132788
0.0616995242535715,4.67407489491158,0.232122752639299,0.630810946485384,0.892644747788765,"CA3","OPC",10,108,16,92,FALSE,0.964740914132788
-0.044990048515213,4.5250137807863,0.219880986184717,0.640033585613891,0.874360397988029,"CA3","Granule",10,109,16,93,FALSE,0.964740914132788
-0.0930224492966014,-0.412903638593337,0.170216579140144,0.680512495328091,0.892544909036958,"CA5A","Granule",10,109,16,93,FALSE,0.964740914132788
0.06421825008209,6.56098567417375,0.170066021981484,0.680887669534209,0.905301207792946,"CA11","Oligodendrocytes",10,108,16,92,FALSE,0.964740914132788
0.0666671563122605,6.62188960140591,0.155117882621803,0.69448360896886,0.936965701344248,"CA11","Microglia",10,108,16,92,FALSE,0.964740914132788
0.0281948786588677,10.9500136701635,0.153265828729531,0.696128984698532,0.937284349504077,"CA10","Microglia",10,108,16,92,FALSE,0.964740914132788
-0.0807607456559822,3.23334467847504,0.146691161961917,0.702319180677973,0.918955096246386,"CA9","OPC",10,108,16,92,FALSE,0.964740914132788
0.0629248084800007,6.74625769415448,0.133962257103825,0.715030326356837,0.940908680410942,"CA11","UBC",10,107,16,91,FALSE,0.964740914132788
0.0538680999882669,5.24291822888789,0.127131536023552,0.722037786990837,0.960553980677861,"CA5B","Purkinje",10,108,16,92,FALSE,0.964740914132788
0.0760402371352286,0.227959491046255,0.125213625094125,0.724029154837516,0.909838240908737,"CA2","Granule",10,109,16,93,FALSE,0.964740914132788
0.0613271079404102,6.62761650799967,0.118839204715289,0.730968712119748,0.968203126729858,"CA11","MLI_2",10,106,16,90,FALSE,0.964740914132788
-0.0469937953435133,5.30872183620344,0.114363282809827,0.735790098040553,0.955959524894686,"CA5B","Golgi",10,106,16,90,FALSE,0.964740914132788
-0.0345838323129611,5.18224277590091,0.113669641663837,0.736612134378775,0.962461452407805,"CA5B","MLI_1",10,108,16,92,FALSE,0.964740914132788
0.06033763530114,4.71550457120844,0.104202079245441,0.74737177954679,0.972269631372539,"CA3","Endocytes",10,107,16,91,FALSE,0.964740914132788
-0.0358719635506934,4.04930086299838,0.0973648061862864,0.755596684582816,0.890355287105732,"CA13","Bergmann",10,108,16,92,FALSE,0.964740914132788
-0.0506803080828081,4.77744627267246,0.0904690633325997,0.763942663051972,0.978411381466698,"CA3","PLI",10,107,16,91,FALSE,0.964740914132788
0.0435467136202596,4.10457296617115,0.0892421533165818,0.765652139834601,0.933503733864925,"CA13","Astrocytes",10,108,16,92,FALSE,0.964740914132788
-0.0414874589751783,6.51262782810089,0.0760777505269774,0.783218520013358,0.944358664840322,"CA11","OPC",10,108,16,92,FALSE,0.964740914132788
-0.0384500862547739,6.61159548313688,0.0605906353493867,0.806012515690978,0.985076626551361,"CA11","PLI",10,107,16,91,FALSE,0.964740914132788
0.0501390780281377,4.98344370524556,0.0599750204423308,0.806878293775992,0.956886081711075,"CA3","UBC",10,107,16,91,FALSE,0.964740914132788
0.0570619391574986,4.23252951944008,0.0451258685863102,0.832069712884596,0.986787455127163,"CA2","Endocytes",10,107,16,91,FALSE,0.964740914132788
0.0292118242310891,6.60307183312641,0.0445112390170708,0.833304812044259,0.947813407109439,"CA11","Granule",10,109,16,93,FALSE,0.964740914132788
0.0146581030812291,5.01223673240749,0.0438189062904725,0.834569699099053,0.948303257340798,"CA5B","Granule",10,109,16,93,FALSE,0.964740914132788
0.0422365928464734,4.42781213276341,0.0311362531845904,0.860141614344651,0.992992470695196,"CA8","PLI",10,107,16,91,FALSE,0.964740914132788
0.0483676360717707,8.97313004530404,0.0289530955112938,0.865223536313282,0.982297740051056,"CA8","Purkinje",10,108,16,92,FALSE,0.964740914132788
-0.0156903880448471,10.8335070101112,0.0272009065293128,0.869281863558152,0.982297740051056,"CA10","Purkinje",10,108,16,92,FALSE,0.964740914132788
-0.0258001018162461,4.17430166221037,0.026982155246534,0.869778864124626,0.978095255115623,"CA13","Microglia",10,108,16,92,FALSE,0.964740914132788
-0.0299856275887717,6.60863871476604,0.0268211396225705,0.870235934119142,0.980825884568095,"CA11","Golgi",10,106,16,90,FALSE,0.964740914132788
-0.0299695246193261,4.14341940365574,0.0238241626544393,0.877617981270986,0.950877452922737,"CA8","Bergmann",10,108,16,92,FALSE,0.964740914132788
-0.0152545796140247,4.69964838181665,0.0221195651301564,0.882038890551896,0.952329702117334,"CA3","Bergmann",10,108,16,92,FALSE,0.964740914132788
